cultivar_ascii,cultivar_original,cultivar_code,code_basis
3.13,3.13,L313,user-specified selection code
6.11,6.11,L611,selection code prefixed by L for plum
A181,A181,LA191,author-confirmed selection code (2026-08-07)
Cuihongli,脆红李,CHL,established source abbreviation
Fengtangli,蜂糖李,FTL,established source abbreviation
Fengwei Huanghou,风味皇后,FWHH,established source abbreviation
Furongli,芙蓉李,FRL,established source abbreviation
Konglongdan,恐龙蛋,KLD,user-specified and established abbreviation
L31,L31,L31,existing uppercase alphanumeric selection code
Naili,奈李,NL,established source abbreviation
Qingcuili,青脆李,QCL,user-specified and established abbreviation
Weidi,味帝,WD,established source abbreviation
Weijin,味金,WJ,established source abbreviation
Weiwang,味王,WW,established source abbreviation
Weixin,味心,WX,established source abbreviation
Zaoshu Konglongdan,早熟恐龙蛋,ZSKLD,established source abbreviation
